table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Sheboygan, WI Metro Area",118034,117937,117747
".Sherman-Denison, TX Metro Area",135543,136014,139336
".Shreveport-Bossier City, LA Metro Area",393406,392525,389155
".Sierra Vista-Douglas, AZ Metro Area",125447,125398,126050
".Sioux City, IA-NE-SD Metro Area",149940,149743,149265
".Sioux Falls, SD Metro Area",276730,277458,281958
".South Bend-Mishawaka, IN-MI Metro Area",324501,324112,323695
".Spartanburg, SC Metro Area",327997,329364,335864
".Spokane-Spokane Valley, WA Metro Area",585784,587266,593466
".Springfield, IL Metro Area",208640,208277,206898
".Springfield, MA Metro Area",699162,697960,695305
".Springfield, MO Metro Area",475432,476128,481483
".Springfield, OH Metro Area",136001,135719,135633
".State College, PA Metro Area",158172,157929,157527
".Staunton, VA Metro Area",125433,125591,125774
".Stockton, CA Metro Area",779233,780517,789410
".Sumter, SC Metro Area",136700,136510,135782
".Syracuse, NY Metro Area",662057,660894,658281
".Tallahassee, FL Metro Area",384298,384546,385776
".Tampa-St. Petersburg-Clearwater, FL Metro Area",3175275,3183385,3219514
".Terre Haute, IN Metro Area",185031,184784,184910
".Texarkana, TX-AR Metro Area",147519,147333,147174
".The Villages, FL Metro Area",129752,130897,135638
".Toledo, OH Metro Area",646604,645819,644217
".Topeka, KS Metro Area",233152,232747,232670
".Trenton-Princeton, NJ Metro Area",387340,386759,385898
".Tucson, AZ Metro Area",1043433,1045599,1052030
".Tulsa, OK Metro Area",1015331,1016589,1023988
".Tuscaloosa, AL Metro Area",268674,268711,268191
".Twin Falls, ID Metro Area",114283,114501,116905
".Tyler, TX Metro Area",233479,234063,237186
".Urban Honolulu, HI Metro Area",1016508,1013227,1000890
".Utica-Rome, NY Metro Area",292264,291702,290211
".Valdosta, GA Metro Area",148126,148160,149152
".Vallejo, CA Metro Area",453491,453274,451716
".Victoria, TX Metro Area",98331,98241,98127
".Vineland-Bridgeton, NJ Metro Area",154152,153848,153627
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1799674,1800081,1803328
".Visalia, CA Metro Area",473117,473736,477054
".Waco, TX Metro Area",277547,277984,280428
